Locality,I,II,II/III,III,IV,V,VI,VII,VIII,IX
Barrow,0,1.209,1.209,1.89,3.794,2.162,10.54,7.366,31.969,39.86
Port Harrison,0,0.794,0.794,1.814,4.671,3.243,15.385,13.005,22.528,37.766
Malye‐Karmaerly,0,1.587,1.587,3.628,3.628,3.628,3.628,3.628,25.057,53.628
Mys Chelyuskin,0,1.235,1.235,1.235,1.235,1.235,4.938,1.235,32.716,54.938
Mys Schmidta,0,0.694,0.694,0.694,1.944,0.694,7.674,3.507,42.049,42.049
Fairbanks,0,0.705,2.584,2.055,4.416,3.463,22.101,9.601,45.712,9.363
Fort Smith,0.605,1.209,4.293,3.84,5.523,4.849,22.808,12.887,37.944,6.041
Kajaani,0.726,1.043,0.635,1.043,8.166,2.737,25.546,9.594,41.737,8.773
Serov,0.518,0.745,0.454,0.745,7.873,2.465,26.241,10.764,43.928,6.267
Erbogachen,0.876,1.259,0.766,0.766,4.822,2.121,12.293,7.121,55.397,14.579
Rapid City,1.139,3.505,8.216,8.641,9.934,6.575,19.718,31.769,8.907,1.596
Puerto Santa Cruz,2.105,4.142,14.05,7.661,9.883,11.272,15.849,34.42,0.617,0
Fort Schevchenko,1.675,2.215,1.506,5.052,16.491,2.342,8.619,58.973,2.16,0.966
Urumchi,0.926,1.296,1.296,2.963,9.574,1.963,8.741,65.963,5.407,1.87
Paotou,0.236,0.777,1.202,2.925,7.322,2.038,8.386,72.57,3.578,0.966
Prince Rupert,0.309,1.08,4.837,3.911,6.411,4.698,28.726,15.763,29.559,4.707
Cleveland,1.858,4.685,5.093,4.665,5.982,11.677,33.47,14.304,16.121,2.146
Evangelistas,1.458,4.887,11.554,8.284,11.169,12.9,30.876,17.964,0.908,0
Vlissingen,0.968,1.587,1.239,1.587,20.066,3.643,41.814,10.368,15.71,3.018
Tsingtao,5.474,6.821,3.862,1.539,8.314,16.193,37.658,14.952,4.418,0.77
New Orleans,5.451,9.355,6.65,5.194,5.021,37.883,17.542,8.641,3.938,0.325
Puerto Montt,1.723,5.245,7.291,4.942,17.367,42.518,13.308,6.533,1.073,0
Corrientes,17.391,32.869,18.115,1.612,1.694,25.219,1.284,1.612,0.205,0
Foochow,16.255,22.343,5.595,1.038,3.873,33.804,12.685,2.34,1.916,0.152
Kagoshima,5.659,6.77,2.663,1.687,4.627,36.085,34.085,3.02,4.27,1.13
Fresno,2.016,5.462,11.794,12.429,29.435,4.62,13.306,13.632,6.423,0.882
Santiago de Chile,2.298,4.69,12.432,12.217,37.701,13.131,10.251,6.518,0.762,0
Sanlucar de Barrameda,2.31,4.43,3.372,4.113,39.896,6.303,24.266,9.69,4.61,1.009
Aleppo,2.026,5.589,6.517,8.739,41.271,5.354,15.299,11.684,2.763,0.757
Esfahan,0.577,3.276,4.601,10.608,44.282,3.979,11.668,16.912,3.065,1.032
Phoenix,2.772,9.24,21.504,27.371,10.326,4.266,7.427,13.49,3.452,0.152
Arica,5.177,5.177,15.025,40.783,18.056,8.207,2.146,4.419,1.01,0
Assuan,2.676,13.027,16.36,37.127,17.451,5.831,3.146,2.584,1.4,0.397
Mascate,2.45,11.919,13.368,34.279,22.685,5.293,2.83,4.486,1.587,1.104
Lüderitz Bay,5.537,13.146,21.003,37.146,14.527,8.027,0.408,0.204,0,0
Las Piedras,30.769,32.491,28.788,1.17,0.768,4.541,0.521,0.775,0.175,0
Catamarca,7.615,18.742,44.514,5.594,3.773,11.581,2.088,5.655,0.437,0
Zinder,6.485,27.304,37.145,12.637,7.51,8.51,0.272,0.136,0,0
Voi,8.378,36.424,29.066,10.615,6.434,8.832,0.167,0.084,0,0
Jaipur,14.233,29.296,33.831,10.802,5.13,3.904,1.723,1.082,0,0
Roque Saenz Peña,15.817,33.237,24.583,2.66,1.891,18.686,1.25,1.635,0.24,0
Ziguinchor,16.192,39.272,21.434,8.928,5.98,7.839,0.236,0.118,0,0
Moundou,11.124,39.671,24.726,8.432,6.379,9.313,0.236,0.118,0,0
Mtwara,11.15,46.505,19.326,7.148,5.198,10.394,0.187,0.093,0,0
Patna,17.398,38.922,28.207,6.551,3.66,3.303,1.469,0.49,0,0
Tumaco,44.932,28.115,19.003,1.137,0.746,4.926,0.363,0.609,0.17,0
Paramaribo,46.245,29.179,18.401,0.686,0.361,4.488,0.227,0.347,0.067,0
Kribi,69.971,17.42,5.558,2.36,1.799,2.819,0.073,0,0,0
Yangambi,65.496,19.607,5.95,2.774,2.274,3.82,0.079,0,0,0
Medan,69.883,20.111,5.002,0.612,0.522,2.588,0.99,0.196,0.098,0
