N,Cl.,Locality,Country,Latitude,Longitude,Altitude,References
1,IX,Barrow,USA,71°18′ N,156°47′ W,7 m,"Hall, 1981"
2,IX,Port Harrison,Canada,58°27′ N,78°08′ W,6 m,"Hall, 1981"
3,IX,Malye‐Karmaerly,Russia,72°23′ N,52°44′ E,16 m,"Corbet, 1978"
4,IX,Mys Chelyuskin,Russia,77°43′ N,104°17′ E,6 m,"Corbet, 1978"
5,IX,Mys Schmidta,Russia,68°55′ N,179°17′ E,6 m,"Corbet, 1978"
6,VIII,Fairbanks,USA,64°49′ N,147°52′ W,133 m,"Hall, 1981"
7,VIII,Fort Smith,Canada,60°01′ N,11°58′ W,62 m,"Hall, 1981"
8,VIII,Kajaani,Finland,64°17′ N,27°41′ E,134 m,"Corbet, 1978"
9,VIII,Serov,Russia,59°36′ N,60°32′ E,132 m,"Corbet, 1978"
10,VIII,Erbogachen,Russia,61°16′ N,108°01′ E,287 m,"Corbet, 1978"
11,VII,Rapid City,USA,44°02′ N,103°03′ W,965 m,"Hall, 1981"
12,VII,Puerto Santa Cruz,Argentina,50°01′ S,68°32′ W,12 m,"Redford & Eisenberg, 1992"
13,VII,Fort Schevchenko,Kazakhstan,44°33′ N,50°17′ E,23 m,"Corbet, 1978"
14,VII,Urumchi,China,43°47′ N,87°37′ E,912 m,"Corbet, 1978"
15,VII,Paotou,China,40°34′ N,109°50′ E,1044 m,"Corbet, 1978"
16,VI,Prince Rupert,Canada,54°17′ N,136°23′ W,16 m,"Hall, 1981"
17,VI,Cleveland,USA,41°24′ N,81°51′ W,237 m,"Hall, 1981"
18,VI,Evangelistas,Chile,52°24′ S,75°06′ W,55 m,"Redford & Eisenberg, 1992"
19,VI,Vlissingen,Holland,51°27′ N,3°36′ E,12 m,"Corbet, 1978"
20,VI,Tsingtao,China,36°04′ N,120°19′ E,77 m,"Corbet, 1978"
21,V,New Orleans,USA,29°57′ N,90°04′ W,3 m,"Hall, 1981"
22,V,Puerto Montt,Chile,41°28′ S,72°57′ W,13 m,"Redford & Eisenberg, 1992"
23,V,Corrientes,Argentina,27°28′ S,58°49′ W,60 m,"Redford & Eisenberg, 1992"
24,V,Foochow,China,26°05′ N,119°18′ E,88 m,"Corbet & Hill, 1992"
25,V,Kagoshima,Japan,31°34′ N,130°33′ E,4 m,"Corbet, 1978"
26,IV,Fresno,USA,36°46′ N,119°42′ W,100 m,"Hall, 1981"
27,IV,Santiago de Chile,Chile,33°27′ S,70°42′ W,520 m,"Redford & Eisenberg, 1992"
28,IV,Sanlucar de Barrameda,Spain,36°47′ N,6°21′ W,30 m,"Corbet, 1978"
29,IV,Aleppo,Syria,36°11′ N,37°13′ E,395 m,"Corbet, 1978"
30,IV,Esfahan,Iran,32°37′ N,51°40′ E,1598 m,"Corbet, 1978"
31,III,Phoenix,USA,33°26′ N,112°01′ W,340 m,"Hall, 1981"
32,III,Arica,Chile,18°28′ S,70°22′ W,29 m,"Redford & Eisenberg, 1992"
33,III,Assuan,Egypt,23°58′ N,33°40′ E,194 m,"Corbet, 1978"
34,III,Mascate,Oman,23°37′ N,58°35′ E,4 m,"Corbet, 1978"
351973,III,Lüderitz Bay,Namibia,26°38′ S,15°06′ E,23 m,"Kingdon, 1971–82; Nowak, 1991; Dorst & Dandelot, 1973"
36,II/III,Las Piedras,Venezuela,11°42′ N,70°12′ W,15 m,"Eisenberg, 1989"
37,II/III,Catamarca,Argentina,28°26′ S,65°46′ W,547 m,"Redford & Eisenberg, 1992"
38,II/III,Zinder,Niger,13°48′ N,8°59′ E,510 m,"Kingdon, 1971–82; Nowak, 1991; Dorst & Dandelot, 1973"
39,II/III,Voi,Kenya,3°24′ S,38°34′ E,560 m,"Kingdon, 1971–82"
40,II/III,Jaipur,India,26°49′ N,75°48′ E,390 m,"Corbet & Hill, 1992"
41,II,Roque Saenz Peña,Argentina,26°49′ S,60°27′ W,92 m,"Redford & Eisenberg, 1992"
42,II,Ziguinchor,Senegal,12°35′ N,16°16′ W,10 m,"Kingdon, 1971–82; Nowak, 1991; Dorst & Dandelot, 1973"
43,II,Moundou,Chad,8°37′ N,16°04′ E,420 m,"Kingdon, 1971–82; Nowak, 1991; Dorst & Dandelot, 1973"
44,II,Mtwara,Tanzania,10°16′ S,40°16′ E,113 m,"Kingdon, 1971–82"
45,II,Patna,India,25°37′ N,85°10′ E,53 m,"Corbet & Hill, 1992"
46,I,Tumaco,Colombia,1°49′ N,78°47′ W,4 m,"Eisenberg, 1989"
47,I,Paramaribo,Surinam,5°51′ N,55°10′ W,3 m,"Eisenberg, 1989"
48,I,Kribi,Cameroon,2°57′ N,9°54′ E,624 m,"Kingdon, 1971–82; Nowak, 1991; Dorst & Dandelot, 1973"
49,I,Yangambi,Zaire,0°49′ N,24°29′ E,487 m,"Kingdon, 1971–82; Nowak, 1991; Dorst & Dandelot, 1973"
50,I,Medan,Indonesia,3°40′ N,98°35′ E,14 m,"Corbet & Hill, 1992"
